province,health_issue,count
ยโสธร,Mental Health Issues,2.0
ยโสธร,No Access to Healthcare Rights,
ยโสธร,No Access to Treatment or Rehabilitation,3.0
ยโสธร,Severe Illness,3.0
ยโสธร,Substance Abuse,
ยโสธร,nan,1779.0
ยะลา,Bedridden,37.0
ยะลา,Chronic Illness,258.0
ยะลา,Cognitive Decline in Elderly,130.0
ยะลา,Dependent on Others for Daily Living,26.0
ยะลา,Depression,3.0
ยะลา,Impacted by AIDS,1.0
ยะลา,Lack of Assistive Devices,2.0
ยะลา,Living with HIV/AIDS,1.0
ยะลา,Mental Health Issues,13.0
ยะลา,No Access to Healthcare Rights,
ยะลา,No Access to Treatment or Rehabilitation,2.0
ยะลา,Severe Illness,8.0
ยะลา,Substance Abuse,5.0
ยะลา,nan,17824.0
ร้อยเอ็ด,Bedridden,27.0
ร้อยเอ็ด,Chronic Illness,1577.0
ร้อยเอ็ด,Cognitive Decline in Elderly,677.0
ร้อยเอ็ด,Dependent on Others for Daily Living,93.0
ร้อยเอ็ด,Depression,18.0
ร้อยเอ็ด,Impacted by AIDS,6.0
ร้อยเอ็ด,Lack of Assistive Devices,29.0
ร้อยเอ็ด,Living with HIV/AIDS,27.0
ร้อยเอ็ด,Mental Health Issues,48.0
ร้อยเอ็ด,No Access to Healthcare Rights,
ร้อยเอ็ด,No Access to Treatment or Rehabilitation,4.0
ร้อยเอ็ด,Severe Illness,28.0
ร้อยเอ็ด,Substance Abuse,12.0
ร้อยเอ็ด,nan,36933.0
ระนอง,Bedridden,10.0
ระนอง,Chronic Illness,104.0
ระนอง,Cognitive Decline in Elderly,3.0
ระนอง,Dependent on Others for Daily Living,111.0
ระนอง,Depression,3.0
ระนอง,Impacted by AIDS,
ระนอง,Lack of Assistive Devices,1.0
ระนอง,Living with HIV/AIDS,5.0
ระนอง,Mental Health Issues,6.0
ระนอง,No Access to Healthcare Rights,
ระนอง,No Access to Treatment or Rehabilitation,
ระนอง,Severe Illness,2.0
ระนอง,Substance Abuse,
ระนอง,nan,14569.0
ระยอง,Bedridden,3.0
ระยอง,Chronic Illness,34.0
ระยอง,Cognitive Decline in Elderly,23.0
ระยอง,Dependent on Others for Daily Living,2.0
ระยอง,Depression,1.0
ระยอง,Impacted by AIDS,1.0
ระยอง,Lack of Assistive Devices,3.0
ระยอง,Living with HIV/AIDS,52.0
ระยอง,Mental Health Issues,7.0
ระยอง,No Access to Healthcare Rights,
ระยอง,No Access to Treatment or Rehabilitation,2.0
ระยอง,Severe Illness,4.0
ระยอง,Substance Abuse,
ระยอง,nan,4839.0
ราชบุรี,Bedridden,
ราชบุรี,Chronic Illness,
ราชบุรี,Cognitive Decline in Elderly,
ราชบุรี,Dependent on Others for Daily Living,
ราชบุรี,Depression,
ราชบุรี,Impacted by AIDS,
ราชบุรี,Lack of Assistive Devices,
ราชบุรี,Living with HIV/AIDS,
ราชบุรี,Mental Health Issues,
ราชบุรี,No Access to Healthcare Rights,
ราชบุรี,No Access to Treatment or Rehabilitation,
ราชบุรี,Severe Illness,
ราชบุรี,Substance Abuse,
ราชบุรี,nan,
ลพบุรี,Bedridden,72.0
ลพบุรี,Chronic Illness,689.0
ลพบุรี,Cognitive Decline in Elderly,149.0
ลพบุรี,Dependent on Others for Daily Living,93.0
ลพบุรี,Depression,8.0
ลพบุรี,Impacted by AIDS,44.0
ลพบุรี,Lack of Assistive Devices,19.0
ลพบุรี,Living with HIV/AIDS,64.0
ลพบุรี,Mental Health Issues,41.0
ลพบุรี,No Access to Healthcare Rights,1.0
ลพบุรี,No Access to Treatment or Rehabilitation,2.0
ลพบุรี,Severe Illness,29.0
ลพบุรี,Substance Abuse,7.0
ลพบุรี,nan,19602.0
ลำปาง,Bedridden,79.0
ลำปาง,Chronic Illness,1642.0
ลำปาง,Cognitive Decline in Elderly,282.0
ลำปาง,Dependent on Others for Daily Living,104.0
ลำปาง,Depression,17.0
ลำปาง,Impacted by AIDS,5.0
ลำปาง,Lack of Assistive Devices,37.0
ลำปาง,Living with HIV/AIDS,51.0
ลำปาง,Mental Health Issues,58.0
ลำปาง,No Access to Healthcare Rights,5.0
ลำปาง,No Access to Treatment or Rehabilitation,10.0
ลำปาง,Severe Illness,12.0
ลำปาง,Substance Abuse,14.0
ลำปาง,nan,21728.0
ลำพูน,Bedridden,203.0
ลำพูน,Chronic Illness,1108.0
ลำพูน,Cognitive Decline in Elderly,281.0
ลำพูน,Dependent on Others for Daily Living,186.0
ลำพูน,Depression,37.0
ลำพูน,Impacted by AIDS,7.0
ลำพูน,Lack of Assistive Devices,44.0
ลำพูน,Living with HIV/AIDS,139.0
ลำพูน,Mental Health Issues,98.0
ลำพูน,No Access to Healthcare Rights,
ลำพูน,No Access to Treatment or Rehabilitation,9.0
ลำพูน,Severe Illness,67.0
ลำพูน,Substance Abuse,5.0
ลำพูน,nan,20514.0
เลย,Bedridden,24.0
เลย,Chronic Illness,192.0
เลย,Cognitive Decline in Elderly,109.0
เลย,Dependent on Others for Daily Living,43.0
เลย,Depression,4.0
เลย,Impacted by AIDS,1.0
เลย,Lack of Assistive Devices,3.0
เลย,Living with HIV/AIDS,56.0
เลย,Mental Health Issues,44.0
เลย,No Access to Healthcare Rights,
เลย,No Access to Treatment or Rehabilitation,
เลย,Severe Illness,18.0
เลย,Substance Abuse,5.0
เลย,nan,10744.0
ศรีสะเกษ,Bedridden,
ศรีสะเกษ,Chronic Illness,
ศรีสะเกษ,Cognitive Decline in Elderly,
ศรีสะเกษ,Dependent on Others for Daily Living,
ศรีสะเกษ,Depression,
ศรีสะเกษ,Impacted by AIDS,
ศรีสะเกษ,Lack of Assistive Devices,
ศรีสะเกษ,Living with HIV/AIDS,
ศรีสะเกษ,Mental Health Issues,
ศรีสะเกษ,No Access to Healthcare Rights,
ศรีสะเกษ,No Access to Treatment or Rehabilitation,
ศรีสะเกษ,Severe Illness,
ศรีสะเกษ,Substance Abuse,
ศรีสะเกษ,nan,3334.0
สกลนคร,Bedridden,50.0
สกลนคร,Chronic Illness,476.0
สกลนคร,Cognitive Decline in Elderly,149.0
สกลนคร,Dependent on Others for Daily Living,66.0
สกลนคร,Depression,17.0
สกลนคร,Impacted by AIDS,17.0
สกลนคร,Lack of Assistive Devices,18.0
สกลนคร,Living with HIV/AIDS,236.0
สกลนคร,Mental Health Issues,52.0
สกลนคร,No Access to Healthcare Rights,
สกลนคร,No Access to Treatment or Rehabilitation,11.0
สกลนคร,Severe Illness,33.0
สกลนคร,Substance Abuse,8.0
สกลนคร,nan,36259.0
สงขลา,Bedridden,87.0
สงขลา,Chronic Illness,834.0
สงขลา,Cognitive Decline in Elderly,123.0
สงขลา,Dependent on Others for Daily Living,86.0
สงขลา,Depression,19.0
สงขลา,Impacted by AIDS,1.0
สงขลา,Lack of Assistive Devices,18.0
สงขลา,Living with HIV/AIDS,102.0
สงขลา,Mental Health Issues,37.0
สงขลา,No Access to Healthcare Rights,2.0
สงขลา,No Access to Treatment or Rehabilitation,16.0
สงขลา,Severe Illness,28.0
สงขลา,Substance Abuse,8.0
สงขลา,nan,39767.0
สตูล,Bedridden,99.0
สตูล,Chronic Illness,833.0
สตูล,Cognitive Decline in Elderly,99.0
สตูล,Dependent on Others for Daily Living,58.0
สตูล,Depression,31.0
สตูล,Impacted by AIDS,6.0
สตูล,Lack of Assistive Devices,9.0
สตูล,Living with HIV/AIDS,35.0
สตูล,Mental Health Issues,59.0
สตูล,No Access to Healthcare Rights,3.0
สตูล,No Access to Treatment or Rehabilitation,2.0
สตูล,Severe Illness,96.0
สตูล,Substance Abuse,28.0
สตูล,nan,19488.0
สมุทรปราการ,Bedridden,16.0
สมุทรปราการ,Chronic Illness,254.0
สมุทรปราการ,Cognitive Decline in Elderly,14.0
สมุทรปราการ,Dependent on Others for Daily Living,21.0
สมุทรปราการ,Depression,3.0
สมุทรปราการ,Impacted by AIDS,
สมุทรปราการ,Lack of Assistive Devices,5.0
สมุทรปราการ,Living with HIV/AIDS,7.0
สมุทรปราการ,Mental Health Issues,3.0
สมุทรปราการ,No Access to Healthcare Rights,
สมุทรปราการ,No Access to Treatment or Rehabilitation,3.0
สมุทรปราการ,Severe Illness,6.0
สมุทรปราการ,Substance Abuse,1.0
สมุทรปราการ,nan,14572.0
สมุทรสงคราม,Bedridden,4.0
สมุทรสงคราม,Chronic Illness,54.0
สมุทรสงคราม,Cognitive Decline in Elderly,1.0
สมุทรสงคราม,Dependent on Others for Daily Living,10.0
สมุทรสงคราม,Depression,
สมุทรสงคราม,Impacted by AIDS,
สมุทรสงคราม,Lack of Assistive Devices,1.0
สมุทรสงคราม,Living with HIV/AIDS,1.0
สมุทรสงคราม,Mental Health Issues,1.0
สมุทรสงคราม,No Access to Healthcare Rights,
สมุทรสงคราม,No Access to Treatment or Rehabilitation,
สมุทรสงคราม,Severe Illness,14.0
สมุทรสงคราม,Substance Abuse,
สมุทรสงคราม,nan,3568.0
สมุทรสาคร,Bedridden,5.0
สมุทรสาคร,Chronic Illness,132.0
สมุทรสาคร,Cognitive Decline in Elderly,6.0
สมุทรสาคร,Dependent on Others for Daily Living,12.0
สมุทรสาคร,Depression,
สมุทรสาคร,Impacted by AIDS,2.0
สมุทรสาคร,Lack of Assistive Devices,1.0
สมุทรสาคร,Living with HIV/AIDS,2.0
สมุทรสาคร,Mental Health Issues,1.0
สมุทรสาคร,No Access to Healthcare Rights,
สมุทรสาคร,No Access to Treatment or Rehabilitation,104.0
สมุทรสาคร,Severe Illness,8.0
สมุทรสาคร,Substance Abuse,
สมุทรสาคร,nan,5355.0
สระแก้ว,Bedridden,22.0
สระแก้ว,Chronic Illness,203.0
สระแก้ว,Cognitive Decline in Elderly,36.0
สระแก้ว,Dependent on Others for Daily Living,6.0
สระแก้ว,Depression,
สระแก้ว,Impacted by AIDS,
สระแก้ว,Lack of Assistive Devices,8.0
สระแก้ว,Living with HIV/AIDS,
สระแก้ว,Mental Health Issues,10.0
สระแก้ว,No Access to Healthcare Rights,
สระแก้ว,No Access to Treatment or Rehabilitation,1.0
สระแก้ว,Severe Illness,4.0
สระแก้ว,Substance Abuse,
สระแก้ว,nan,4220.0
สระบุรี,Bedridden,140.0
สระบุรี,Chronic Illness,1858.0
สระบุรี,Cognitive Decline in Elderly,147.0
สระบุรี,Dependent on Others for Daily Living,167.0
สระบุรี,Depression,9.0
สระบุรี,Impacted by AIDS,7.0
สระบุรี,Lack of Assistive Devices,27.0
สระบุรี,Living with HIV/AIDS,54.0
สระบุรี,Mental Health Issues,40.0
สระบุรี,No Access to Healthcare Rights,1.0
สระบุรี,No Access to Treatment or Rehabilitation,7.0
สระบุรี,Severe Illness,33.0
สระบุรี,Substance Abuse,1.0
สระบุรี,nan,12467.0
สิงห์บุรี,Bedridden,15.0
สิงห์บุรี,Chronic Illness,198.0
สิงห์บุรี,Cognitive Decline in Elderly,21.0
สิงห์บุรี,Dependent on Others for Daily Living,5.0
สิงห์บุรี,Depression,2.0
สิงห์บุรี,Impacted by AIDS,
สิงห์บุรี,Lack of Assistive Devices,6.0
สิงห์บุรี,Living with HIV/AIDS,1.0
สิงห์บุรี,Mental Health Issues,11.0
สิงห์บุรี,No Access to Healthcare Rights,
สิงห์บุรี,No Access to Treatment or Rehabilitation,
สิงห์บุรี,Severe Illness,5.0
สิงห์บุรี,Substance Abuse,
สิงห์บุรี,nan,5142.0
สุโขทัย,Bedridden,84.0
สุโขทัย,Chronic Illness,1435.0
สุโขทัย,Cognitive Decline in Elderly,285.0
สุโขทัย,Dependent on Others for Daily Living,118.0
สุโขทัย,Depression,27.0
สุโขทัย,Impacted by AIDS,2.0
สุโขทัย,Lack of Assistive Devices,22.0
สุโขทัย,Living with HIV/AIDS,19.0
สุโขทัย,Mental Health Issues,38.0
สุโขทัย,No Access to Healthcare Rights,1.0
สุโขทัย,No Access to Treatment or Rehabilitation,14.0
สุโขทัย,Severe Illness,62.0
สุโขทัย,Substance Abuse,2.0
สุโขทัย,nan,35235.0
สุพรรณบุรี,Bedridden,
สุพรรณบุรี,Chronic Illness,
สุพรรณบุรี,Cognitive Decline in Elderly,
สุพรรณบุรี,Dependent on Others for Daily Living,
สุพรรณบุรี,Depression,
สุพรรณบุรี,Impacted by AIDS,
สุพรรณบุรี,Lack of Assistive Devices,
สุพรรณบุรี,Living with HIV/AIDS,
สุพรรณบุรี,Mental Health Issues,
สุพรรณบุรี,No Access to Healthcare Rights,
สุพรรณบุรี,No Access to Treatment or Rehabilitation,
สุพรรณบุรี,Severe Illness,
สุพรรณบุรี,Substance Abuse,
สุพรรณบุรี,nan,
สุราษฎร์ธานี,Bedridden,107.0
สุราษฎร์ธานี,Chronic Illness,2386.0
สุราษฎร์ธานี,Cognitive Decline in Elderly,210.0
สุราษฎร์ธานี,Dependent on Others for Daily Living,109.0
สุราษฎร์ธานี,Depression,8.0
สุราษฎร์ธานี,Impacted by AIDS,4.0
สุราษฎร์ธานี,Lack of Assistive Devices,21.0
สุราษฎร์ธานี,Living with HIV/AIDS,11.0
สุราษฎร์ธานี,Mental Health Issues,25.0
สุราษฎร์ธานี,No Access to Healthcare Rights,9.0
สุราษฎร์ธานี,No Access to Treatment or Rehabilitation,9.0
สุราษฎร์ธานี,Severe Illness,25.0
สุราษฎร์ธานี,Substance Abuse,4.0
สุราษฎร์ธานี,nan,64331.0
สุรินทร์,Bedridden,62.0
สุรินทร์,Chronic Illness,344.0
สุรินทร์,Cognitive Decline in Elderly,217.0
สุรินทร์,Dependent on Others for Daily Living,178.0
สุรินทร์,Depression,45.0
สุรินทร์,Impacted by AIDS,3.0
สุรินทร์,Lack of Assistive Devices,1135.0
สุรินทร์,Living with HIV/AIDS,
สุรินทร์,Mental Health Issues,21.0
สุรินทร์,No Access to Healthcare Rights,
สุรินทร์,No Access to Treatment or Rehabilitation,1.0
สุรินทร์,Severe Illness,2.0
สุรินทร์,Substance Abuse,3.0
สุรินทร์,nan,13118.0
หนองคาย,Bedridden,31.0
หนองคาย,Chronic Illness,237.0
หนองคาย,Cognitive Decline in Elderly,121.0
หนองคาย,Dependent on Others for Daily Living,34.0
หนองคาย,Depression,2.0
หนองคาย,Impacted by AIDS,3.0
หนองคาย,Lack of Assistive Devices,22.0
หนองคาย,Living with HIV/AIDS,10.0
หนองคาย,Mental Health Issues,18.0
หนองคาย,No Access to Healthcare Rights,2.0
หนองคาย,No Access to Treatment or Rehabilitation,20.0
หนองคาย,Severe Illness,31.0
หนองคาย,Substance Abuse,5.0
หนองคาย,nan,12619.0
หนองบัวลำภู,Bedridden,
หนองบัวลำภู,Chronic Illness,
หนองบัวลำภู,Cognitive Decline in Elderly,
หนองบัวลำภู,Dependent on Others for Daily Living,
หนองบัวลำภู,Depression,
หนองบัวลำภู,Impacted by AIDS,
หนองบัวลำภู,Lack of Assistive Devices,
หนองบัวลำภู,Living with HIV/AIDS,
หนองบัวลำภู,Mental Health Issues,
หนองบัวลำภู,No Access to Healthcare Rights,
หนองบัวลำภู,No Access to Treatment or Rehabilitation,
หนองบัวลำภู,Severe Illness,
หนองบัวลำภู,Substance Abuse,
หนองบัวลำภู,nan,
อ่างทอง,Bedridden,69.0
อ่างทอง,Chronic Illness,1012.0
อ่างทอง,Cognitive Decline in Elderly,57.0
อ่างทอง,Dependent on Others for Daily Living,67.0
อ่างทอง,Depression,13.0
อ่างทอง,Impacted by AIDS,2.0
อ่างทอง,Lack of Assistive Devices,13.0
อ่างทอง,Living with HIV/AIDS,60.0
อ่างทอง,Mental Health Issues,42.0
อ่างทอง,No Access to Healthcare Rights,
อ่างทอง,No Access to Treatment or Rehabilitation,5.0
อ่างทอง,Severe Illness,48.0
อ่างทอง,Substance Abuse,14.0
อ่างทอง,nan,16337.0
อำนาจเจริญ,Bedridden,35.0
อำนาจเจริญ,Chronic Illness,295.0
อำนาจเจริญ,Cognitive Decline in Elderly,62.0
อำนาจเจริญ,Dependent on Others for Daily Living,18.0
อำนาจเจริญ,Depression,16.0
อำนาจเจริญ,Impacted by AIDS,
อำนาจเจริญ,Lack of Assistive Devices,18.0
อำนาจเจริญ,Living with HIV/AIDS,3.0
อำนาจเจริญ,Mental Health Issues,16.0
อำนาจเจริญ,No Access to Healthcare Rights,
อำนาจเจริญ,No Access to Treatment or Rehabilitation,9.0
อำนาจเจริญ,Severe Illness,7.0
อำนาจเจริญ,Substance Abuse,3.0
อำนาจเจริญ,nan,8064.0
อุดรธานี,Bedridden,
อุดรธานี,Chronic Illness,
อุดรธานี,Cognitive Decline in Elderly,
อุดรธานี,Dependent on Others for Daily Living,
อุดรธานี,Depression,
อุดรธานี,Impacted by AIDS,
อุดรธานี,Lack of Assistive Devices,
อุดรธานี,Living with HIV/AIDS,
อุดรธานี,Mental Health Issues,
อุดรธานี,No Access to Healthcare Rights,
อุดรธานี,No Access to Treatment or Rehabilitation,
อุดรธานี,Severe Illness,
อุดรธานี,Substance Abuse,
อุดรธานี,nan,
อุตรดิตถ์,Bedridden,53.0
อุตรดิตถ์,Chronic Illness,600.0
อุตรดิตถ์,Cognitive Decline in Elderly,139.0
อุตรดิตถ์,Dependent on Others for Daily Living,50.0
อุตรดิตถ์,Depression,11.0
อุตรดิตถ์,Impacted by AIDS,4.0
อุตรดิตถ์,Lack of Assistive Devices,9.0
อุตรดิตถ์,Living with HIV/AIDS,16.0
อุตรดิตถ์,Mental Health Issues,35.0
อุตรดิตถ์,No Access to Healthcare Rights,1.0
อุตรดิตถ์,No Access to Treatment or Rehabilitation,5.0
อุตรดิตถ์,Severe Illness,12.0
อุตรดิตถ์,Substance Abuse,5.0
อุตรดิตถ์,nan,16561.0
อุทัยธานี,Bedridden,75.0
อุทัยธานี,Chronic Illness,1455.0
อุทัยธานี,Cognitive Decline in Elderly,362.0
อุทัยธานี,Dependent on Others for Daily Living,71.0
อุทัยธานี,Depression,5.0
อุทัยธานี,Impacted by AIDS,20.0
อุทัยธานี,Lack of Assistive Devices,6.0
อุทัยธานี,Living with HIV/AIDS,57.0
อุทัยธานี,Mental Health Issues,43.0
อุทัยธานี,No Access to Healthcare Rights,
อุทัยธานี,No Access to Treatment or Rehabilitation,7.0
อุทัยธานี,Severe Illness,23.0
อุทัยธานี,Substance Abuse,3.0
อุทัยธานี,nan,11303.0
อุบลราชธานี,Bedridden,41.0
อุบลราชธานี,Chronic Illness,2032.0
อุบลราชธานี,Cognitive Decline in Elderly,143.0
อุบลราชธานี,Dependent on Others for Daily Living,53.0
อุบลราชธานี,Depression,7.0
อุบลราชธานี,Impacted by AIDS,2.0
อุบลราชธานี,Lack of Assistive Devices,14.0
อุบลราชธานี,Living with HIV/AIDS,
อุบลราชธานี,Mental Health Issues,14.0
อุบลราชธานี,No Access to Healthcare Rights,3.0
อุบลราชธานี,No Access to Treatment or Rehabilitation,9.0
อุบลราชธานี,Severe Illness,22.0
อุบลราชธานี,Substance Abuse,1.0
อุบลราชธานี,nan,36863.0
